product_id,name,product_type,sku,price,min_price,max_price,qty,collection_id,collection,category,category_name,store_code,gender
108491,Women's Wedding Ring Brilliant Element 5 mm,wedding_ring,GWD-L-8600-5-W,561.000000,224.000000,6372.000000,1,4291,vintage,689,Women’s Wedding Rings,glgb,women
98694,Heavenly Blaze 8 mm,wedding_ring,GWD-S4012-8,2128.000000,723.000000,21420.000000,1,164,simple,0,,glgb,False
106258,Men's Ring Golden Dawn 10 mm,wedding_ring,GWD-H14319034-M,1109.000000,443.000000,11135.000000,1,4291,vintage,0,,glgb,men
108794,Wedding Ring Unique Line 5 mm,wedding_ring,GWD-H1006-5,1055.000000,422.000000,11201.000000,1,4297,exclusive,688,Wedding Rings,glgb,False
97618,GLAMIRA Pendant Loherre,pendant,Loherre,117.000000,93.000000,1000.000000,1,4378,fashion,601,Necklaces,glgb,women
96406,Wedding Ring Pure Air 6 mm,wedding_ring,GWD-T120911-6,1818.000000,517.000000,18821.000000,1,4090,twinset,688,Wedding Rings,glgb,False
86020,Men's Wedding Ring Glorious Melody,wedding_ring,TWN1650-9,751.000000,337.000000,1539.000000,1,4090,twinset,690,Men’s Wedding Rings,glgb,men
105588,Men's Ring Shining Class 10 mm,wedding_ring,GWD-N1090-10-M,1110.000000,444.000000,11146.000000,1,4090,twinset,0,,glgb,men
106665,Women's Ring Glorious Square 10 mm,wedding_ring,GWD-H14319139-W,954.000000,381.000000,12226.000000,1,4090,twinset,0,,glgb,women
104761,Wedding Ring Sense Tear 5 mm,wedding_ring,GWD-N1010-5,1145.000000,458.000000,12462.000000,1,4396,memoire,688,Wedding Rings,glgb,False
106906,Unique Trueness 10 mm,wedding_ring,GWD-H14319232,2033.000000,813.000000,22305.000000,1,4090,twinset,0,,glgb,False
96819,GLAMIRA Necklace Pafundesi,necklace,WSP-40,312.000000,297.000000,2463.000000,1,176,infinity,601,Necklaces,glgb,women
105165,Men's Wedding Ring Romantic Beauty 5 mm,wedding_ring,GWD-N1045-5-M,593.000000,237.000000,5954.000000,1,4297,exclusive,690,Men’s Wedding Rings,glgb,men
108334,Flawless Beauty 8 mm,wedding_ring,GWD-L-44000-8,2080.000000,832.000000,20326.000000,1,4090,twinset,0,,glgb,False
99878,Women's Pendant Laine,pendant,OEPD-016,275.000000,275.000000,2225.000000,1,5258,name,601,Necklaces,glgb,women
85799,Women's Earring Eleni,earring,G100750,938.000000,730.000000,8177.000000,1,5474,huggies_&_hoops,602,Earrings,glgb,women
111171,Men's Wedding Ring Confident Blaze 6 mm,wedding_ring,gwd-h10001-6-M,1011.000000,454.000000,2134.000000,1,5247,wood_&_carbon,690,Men’s Wedding Rings,glgb,men
97469,Women's Bracelet Plana,bracelet,Plana,531.000000,435.000000,4235.000000,1,5168,chain_bracelet,624,Bracelets,glgb,women
95231,Engagement Ring Kylie 2.0 crt,ring,Kylie-2.0crt,806.000000,564.000000,118928.000000,1,5169,side-stone,605,Engagement Rings,glgb,women
97290,Wedding Ring Ornate Butterfly 8 mm,wedding_ring,GWD-V2508,2335.000000,681.000000,23569.000000,1,4291,vintage,688,Wedding Rings,glgb,False
96164,Women's Wedding Ring Pretty Dream 5 mm,wedding_ring,GWD-T120909-5W,742.000000,210.000000,7603.000000,1,4090,twinset,689,Women’s Wedding Rings,glgb,women
108696,Women's Pendant Robinetta,necklace,Robinetta,391.000000,278.000000,3916.000000,1,5299,cabochon,601,Necklaces,glgb,women
107352,Brilliant Line 8 mm,wedding_ring,GWD-L-5100-8,1727.000000,690.000000,17502.000000,1,4090,twinset,0,,glgb,False
91927,Women's Pendant Lacey,pendant,PND5-6,278.000000,194.000000,2665.000000,1,4661,pearl,764,PEARL's Necklaces,glgb,women
106860,Women's Wedding Ring Infinite Treasure 5 mm,wedding_ring,GWD-H14319205-W,528.000000,211.000000,5621.000000,1,4090,twinset,689,Women’s Wedding Rings,glgb,women
96426,Men's Wedding Ring White Magic 6 mm,wedding_ring,GWD-T120922-6M,1036.000000,302.000000,10403.000000,1,4090,twinset,690,Men’s Wedding Rings,glgb,men
102650,GLAMIRA Brooch Lawanza,brooch,Lawanza,652.000000,469.000000,6668.000000,1,,,645,Brooch,glgb,women
98153,Women's Ring White Lily 10 mm,wedding_ring,GWD-S3010-W,1240.000000,362.000000,12539.000000,1,164,simple,0,,glgb,women
89504,Cufflink Fair&Noble,cufflink,CL20011,1081.000000,864.000000,10994.000000,1,4378,fashion,54,Cufflinks,glgb,men
94770,Women's ring Alluring Faith 10mm,wedding_ring,GWD-T10220,1509.000000,329.000000,15610.000000,1,4090,twinset,0,,glgb,women
87126,Men's Wedding Ring Exotic Profile,wedding_ring,TWN194,1108.000000,498.000000,2271.000000,1,4295,fancy,690,Men’s Wedding Rings,glgb,men
97416,Women's Pendant Solenad,pendant,SOLENAD,131.000000,111.000000,1333.000000,1,4716,flower,601,Necklaces,glgb,women
95914,Wedding Ring Bright Flash 5mm,wedding_ring,GWD-T212400,1616.000000,448.000000,16551.000000,1,4090,twinset,688,Wedding Rings,glgb,False
94928,Women's ring Elegant Blaze 8mm,wedding_ring,GWD-T11420,1225.000000,312.000000,12421.000000,1,4090,twinset,0,,glgb,women
93306,Classic Search 9mm,wedding_ring,GWD18720,2150.000000,580.000000,18189.000000,1,159,classic,0,,glgb,False
109879,Engagement Ring Kabena 0.5 crt,ring,kabena05,624.000000,468.000000,36847.000000,1,4375,solitaire_pave,605,Engagement Rings,glgb,women
110658,GLAMIRA Bracelet Blanche 16 cm,bracelet,blanche-16,1741.000000,1350.000000,13363.000000,1,,,0,,glgb,women
105303,Women's Ring Heavenly Star 8 mm,wedding_ring,GWD-N1075-8-W,770.000000,308.000000,7890.000000,1,4090,twinset,0,,glgb,women
102905,Women's Earring Hardika 0.86 crt,earring,Hardika5,388.000000,310.000000,12225.000000,1,5256,studs,602,Earrings,glgb,women
106372,Women's Wedding Ring Infinite Choice 6 mm,wedding_ring,GWD-H14319056-W,653.000000,261.000000,7295.000000,1,4291,vintage,689,Women’s Wedding Rings,glgb,women
109364,Men's Wedding Ring Essential Luck 5 mm,wedding_ring,GWD-H1044-5-M,582.000000,232.000000,5843.000000,1,4291,vintage,690,Men’s Wedding Rings,glgb,men
101628,Kid's Earring Alyra,earring,KIDE-065,245.000000,171.000000,1863.000000,1,5155,animals,63,Earrings,glgb,False
105379,Pure Charm 8 mm,wedding_ring,GWD-N1080-8,1690.000000,676.000000,17514.000000,1,4090,twinset,0,,glgb,False
86188,Wedding Ring Heavenly Gloss,wedding_ring,B9051_001/F9051,1829.000000,823.000000,14000.000000,1,4090,twinset,688,Wedding Rings,glgb,False
104683,Men's Wedding Ring Pretty Elegance 6 mm,wedding_ring,GWD-N1003-6-M,685.000000,274.000000,6878.000000,1,4090,twinset,690,Men’s Wedding Rings,glgb,men
95916,Men's Wedding Ring Bright Flash 6mm,wedding_ring,GWD-T212420,1048.000000,290.000000,10523.000000,1,4090,twinset,690,Men’s Wedding Rings,glgb,men
92438,Women's Earring Norma,earring,Earring-52,413.000000,330.000000,11158.000000,1,5473,drops_&_dangle,602,Earrings,glgb,women
95456,Men's Wedding Ring Pretty Shine 6mm,wedding_ring,GWD-T13200,856.000000,212.000000,9455.000000,1,159,classic,690,Men’s Wedding Rings,glgb,men
103658,GLAMIRA Ring Griseldis,ring,Griseldis,743.000000,573.000000,10136.000000,1,5299,cabochon,27,Rings,glgb,women
104486,GLAMIRA Ring Ephrata,ring,ephrata,664.000000,489.000000,7193.000000,1,5299,cabochon,27,Rings,glgb,women
104967,Women's Wedding Ring Glorious Sign 5 mm,wedding_ring,GWD-N1017-5-W,523.000000,209.000000,5461.000000,1,4090,twinset,689,Women’s Wedding Rings,glgb,women
101288,Women's Anklet Diandra,anklet,Diandra,914.000000,411.000000,6855.000000,1,,,752,Anklets,glgb,women
96572,Women's ring Bright Youth 8 mm,wedding_ring,GWD-C191005-8W,1154.000000,461.000000,12964.000000,1,159,classic,0,,glgb,women
100489,Cufflink Akhilan,cufflink,AKHILAN,1490.000000,968.000000,12999.000000,1,4378,fashion,54,Cufflinks,glgb,men
